Article Title,Article Text,Article Date,Article Author,Article Sections,Article Category,Article Companies
Comments Sought On Gazoduq’s Proposed Pipeline Draft Impact Statement Guidelines | Daily Oil Bulletin ,"
The Impact Assessment Agency of Canada (IAAC) is seeking comments on Gazoduq Inc.’s proposal for a natural gas pipeline that would transport western Canadian natural gas approximately 780 kilometres from northeastern Ontario to an LNG facility at Saguenay, Que. export.
The proposed project is a 42-inch pipeline designed to transport about 1.8 bcf/d of gas approximately from an interconnection with TC Energy Corporation’s existing mainline near Ramore, Ont. to a future natural gas liquefaction, storage and export facility (Énergie Saguenay) belonging to its main customer, GNL Québec Inc.
As part of the planning phase of the impact assessment, the public and Indigenous Peoples are being invited to review and provide feedback on the draft tailored impact statement guidelines and the draft public participation plan. The draft guidelines outline the project-specific factors that will be considered in the assessment and provide direction to Gazoduq on the information and studies required in its impact statement. The draft public participation plan explains how the public will be engaged throughout the review process.
The IAA will accept online comments to its registry until March 10, 2020. All comments received will be published online as part of the project file.
Community meetings will be held during the consultation period with both the Agency and Canada Energy Regulator (CER) available to provide information and answer questions.
As next steps, the agency will consider all input received and finalize the public participation plan and the tailored impact statement guidelines which will be posted to its registry. The IAA also will post the notice of commencement for the project and start the impact statement phase. This project will benefit from several other opportunities for the public and Indigenous peoples to participate throughout the impact assessment process.
The proposed project is a designated project under the agency’s physical activities regulations and would be regulated by the CER. The integrated impact assessment for this project is a single assessment through a review panel process that would meet the requirements of both the Impact Assessment Act and the Canadian Energy Regulator Act.
","Monday, February 3, 2020, 10:37 AM MST", ,"
 
ESG
, 
Gas/LNG
","
 
Indigenous
, 
LNG
, 
Natural Gas
, 
Pipelines
, 
Regulatory
","
 
TC Energy Corporation
"
"Enbridge Line 3 Oil Pipeline Clears Hurdle, Minnesota Regulator Rules Environment Statement Adequate | Daily Oil Bulletin ","
(Reuters) — A Minnesota regulator on Monday ruled that a revised environmental impact statement for Enbridge Inc.’s Line 3 oil pipeline replacement is adequate, helping the long-delayed project clear a significant hurdle.
The Minnesota Public Utilities Commission voted 3-1 to find the revised statement from the state's Department of Commerce adequate, and was to move on Monday afternoon to consider reissuing a certificate of need and route permit for the project.
Line 3, built in the 1960s, carries oil from Alberta to Superior, Wis. Because of age and corrosion, it carries less oil than it was designed to transport.
Enbridge has argued that replacing it will reduce the chances of leaks.
Replacing Line 3 would allow Enbridge to double its capacity to 760,000 bbls/d, providing relief to congested pipelines carrying Canada’s oil.
The Minnesota Department of Commerce revised its environmental impact statement for the project after the Minnesota Court of Appeal ruled last June that the original statement was insufficient. The court found the original statement lacking regarding a single issue, assessment of a potential spill on Lake Superior and its watershed.
","Monday, February 3, 2020, 10:52 AM MST", ,"
 
ESG
, 
Markets
","
 
Environment
, 
Legal
, 
Pipelines
, 
U.S.
","
 
Enbridge Inc.
"
Enbridge Provides Notice Of Series 11 Preferred Shares Conversion Right | Daily Oil Bulletin ,"
Enbridge Inc. does not intend to exercise its right to redeem its currently outstanding cumulative redeemable preference shares, Series 11, on March 1, 2020.
As a result, subject to certain conditions, the holders of the Series 11 shares have the right to convert all or part of their Series 11 shares on a one-for-one basis into cumulative redeemable preference shares, Series 12 of Enbridge on March 1, 2020.
 Holders who do not exercise their right to convert their Series 11 Shares into Series 12 Shares will retain their Series 11 Shares.
The foregoing conversion right is subject to the conditions that: (i) if Enbridge determines that there would be less than 1 million Series 11 shares outstanding after March 1, 2020, then all remaining Series 11 shares will automatically be converted into Series 12 shares on a one-for-one basis on March 1, 2020; and (ii) alternatively, if Enbridge determines that there would be less than 1 million Series 12 shares outstanding after March 1, 2020, no Series 11 shares will be converted into Series 12 shares. There are currently 20 million Series 11 shares outstanding.
","Monday, February 3, 2020, 12 AM MST", , ,"
 
Oil & Gas Finance - Investment
, 
Pipelines
","
 
Enbridge Inc.
"
"More Information Needed In Enbridge Firm Service Filing, Says Suncor | Daily Oil Bulletin ","
Suncor Energy Inc. wants to see more information from Enbridge Inc., which has filed an application seeking regulatory approval to convert up to 90 per cent of its Canadian Mainline capacity to contract service.
At this point, it appears that Enbridge has not provided sufficient information to the CER for it to determine whether an application for contract service on the Canadian Mainline is in the public interest and that the tolls are just and reasonable, says Suncor in comments filed with the Canada Energy Regulator (CER).
The pipeline company should be required to file detailed information on tolls and tariffs as stipulated in the National Energy Board (now CER) filing manual, says Suncor. That information includes total cost of service, including operating maintenance and administrative expenses, depreciation, income taxes, return on rate base and other items.
Although the Enbridge application also seeks approval of firm service and spot tolls, it does not include any methodology by which those tolls were determined, says the oilsands producer.
Enbridge filed its Mainline contracting application in response to an earlier CER decision which halted its open season. The regulator ruled the company could not offer firm service to prospective Mainline shippers until the commission had approved the change from common carrier service, including all associated tolls and conditions of service.
The decision was in response to a complaint from Suncor as well as submissions from Shell Canada Limited, the Explorers and Producers Association of Canada (EPAC) and Canadian Natural Resources Limited.
At that time, the commission also indicated that ""any future regulatory proceeding following an Enbridge application for firm service would provide an appropriate public forum for all interested persons to share information regarding Mainline firm service,” says Suncor. “The Enbridge application triggers such a proceeding.”
In Suncor’s view, a major issue is whether the proposed tolls are “above a competitive, cost-reflective level” and therefore represent an exercise by Enbridge of its market power in providing transportation services from Western Canada to ex-basin markets.
The company says that in its earlier application it relied on expert evidence to assert that Enbridge possesses market power and that, “absent evidence that the tolls and terms specified by Enbridge for firm service are justified on the basis of underlying cost, the contract carriage conversion proposal represented an exercise of that market power.”  The Enbridge application, says Suncor, presents essentially the same contract carriage proposal to the CER for approval.
The filing for approval of firm service does not eliminate the market power issue, Suncor argues. “Rather, it places the responsibility on the commission to determine whether the proposed tolls and other terms and conditions of service reflect an exercise of market power by Enbridge.”
Information on the underlying costs of Enbridge providing firm service on the Mainline “can and should inform the commission's decision on the market power issue,” it says.
Regulated companies such as Enbridge that are seeking adjudication of a tolls and tariffs matter are required to meet the detailed information requirements of the filing manual. Alternatively, a company can come to the regulator for approval of a negotiated settlement, subject to guidelines.
The Enbridge application, though, makes no effort to comply with either the filing manual requirements or the settlement guidelines and in fact, mentions neither, says Suncor.
“Instead, it seeks to have the CER accept entry by Enbridge to the regulatory process through a third door, being an application that is presented as a ‘black box’ package that is the product of bilateral negotiations that resulted in the support of a select number of Canadian Mainline shippers,” it says. “Suncor is not aware that such an approach has previously been accepted or considered by the CER or its predecessor.”
In its comments, Suncor urges the regulator to implement a full oral hearing process to consider the application. “The matters at issue in this proceeding are critical for Mainline shippers and other interested parties,” it says. “The result of approval of the application would be a revolutionary change in access to capacity to transport oil out of the WCSB.”
In these circumstances, it says, “an efficient, appropriate and fair hearing process would be one that allows for a full and complete consideration of the critical issues that are relevant to the CER decision.”
The Enbridge filing has attracted considerable interest with more than 50 comments from different parties including producers, marketers, refiners, a producer association and the Alberta and Saskatchewan governments.
Two stage process
A number of commenters have proposed a two-stage process in which the CER would first determine whether the application is consistent with Enbridge’s common carrier requirements under the Canada Energy Regulator Act. Only if the conversion is approved would the regulator proceed to the next step which would include a review of the more detailed aspects of the application including tolls, tariffs and conditions of service.
Such an approach would increase regulatory efficiency and enable participation from a wider range of stakeholders, according to some of those who commented on the process.
However, BP Products North America Inc. disagrees that the application should be considered in two parts which it says would no doubt result in two hearings, both of which would include a comment process, information requests, evidence, an oral hearing, and argument.
 “If accepted, this would be a largely duplicative process, which, having regard to the number of parties involved, would be unnecessarily costly and cumbersome,” it says. “Respectfully, regulatory efficiency would not be served by a split process, but would instead result in significant delay and uncertainty for the foreseeable future for all parties.
BP, along with some other parties, also emphasized the need for the regulatory proceeding to be completed in a timely manner to provide time for an open season to meet the targeted July 1, 2021 implementation following the expiry of the  existing Competitive Toll Settlement which is due to expire June 30, 2021.
","Friday, January 31, 2020, 12 AM MST",Elsie Ross,"
 
Markets
, 
Oilsands
","
 
Pipelines
, 
Regulatory
","
 
Canadian Natural Resources Limited
, 
Suncor Energy Inc.
"
Enbridge CEO Previews ‘Public Interest Test’ Arguments For Mainline Contracting Initiative | Daily Oil Bulletin ,"
The chief executive officer of Enbridge Inc. outlined Thursday how the company believes its new contracting proposal for the Mainline pipeline system meets the public interest test.
The company has filed an application with the Canada Energy Regulator (CER) seeking approval to convert up to 90 per cent of its Canadian Mainline capacity to contract service.
Enbridge filed its Mainline contracting application in response to an earlier CER decision that halted its open season. The regulator ruled the company could not offer firm service to prospective Mainline shippers until it had approved the change from common carrier service, including all associated tolls and conditions of service.
“It’s important for everyone to understand what we’re delivering here with this proposal is exactly what we’ve heard from our shippers,” Al Monaco told the CIBC Western Institutional Investor Conference on Thursday.
Monaco said shippers want guaranteed access through the Enbridge system, as well as toll stability.
“We designed it in consultation with our shippers over the last two years and of course many of them are entirely prepared to sign up. They said that in our application and over 75 per cent of our current shippers support the deal.”
Monaco spoke against the backdrop of a week that’s seen more public announcements of opposition to the company’s proposal.
Canadian Natural Resources Limited said in a filing with the CER on Tuesday that Enbridge’s bid to change the Mainline from monthly service to long-term contracts is an abuse of market power and isn’t in the public interest. The producer asked the regulator to split its review of the proposal into two parts, with the first addressing whether the conversion should even be allowed.
On the same day, the Explorers & Producers Association of Canada (EPAC) also asked the CER to split the review process in two. The regulator should address other matters in Enbridge’s application, such as tolls, only once the fundamental issue of a switch to contract service is decided, EPAC said.
Yesterday, Baytex Energy Corp. announced at the CIBC conference that it also plans to voice its objections to the CER about Enbridge’s plans to change its contracting approach.
For its part, Suncor Energy Inc. wants to see more information from Enbridge. In comments filed with the regulator, Suncor said it appears that Enbridge has not provided sufficient information to the CER for it to determine whether an application for contract service on the Canadian Mainline is in the public interest and that the tolls are just and reasonable.
Outlining arguments for the public interest test 
During a discussion at the CIBC conference, Monaco listed several ways in which the new contracting proposal meets the public interest test.
It can first be framed within the context of why this is good for the Western Canadian Sedimentary Basin, said Monaco.
“And I think it comes down to one simple thing: it’s the netback pricing that comes from the lowest tolls of any system to the best markets.” Under the new regime, he said, tolls would have a similar profile.
Monaco noted that Western Canada crude is “essentially priced off the marginal barrel at variable cost.”
He added: “Once you have pipeline contracts in place, and you have fixed costs, then your next barrel moves based on incremental variable costs — in this case, the price of power for a pipeline like ours. So what happens is, the netback pricing should improve … because the fixed costs that are sunk are out of the equation and that last barrel that moves is setting that price.”
A second reason why the new contracting proposal meets the public interest test relates to demand pull, Monaco said.
Because Enbridge moves about 60 per cent of the line’s volume into the “best markets,” he said this creates demand pull for western Canadian supply.
“You’re ‘demand pulling’ right into the best refining complex in North America, and the most competitive refining complex in the world if you look at it on a per-unit basis. So you’ve got 13 million barrels essentially in the Mid-Continent, Gulf Coast and other areas that we are attaching the western Canadian basin to. So I think that’s positive.”
The public interest test will also be assessed on whether the offer is fair — in general that comes down to Enbridge ensuring it is providing open access to everybody, Monaco said.
“We went to great lengths in this proposal to make sure every producer — no matter how big or small — had an option to be involved,” including any term shippers wanted, whether it was take-or-pay (or not), as well as toll discounting applied on how much volume a shipper was committing to.”
Lastly, Monaco said “unlocking the commercial model” for the Mainline will help “unlock more capability and resources for the producing and refining community — downstream and upstream — for a long period of time. Once you’ve got the contracting structure in place, then you know the economics for expansion, and you know how to toll that next barrel from there.”
Once the new contracting mechanism is set up, and if the company can complete Line 3 in the U.S., “all of a sudden then, you’ve got more opportunity to get barrels into the U.S. Gulf Coast, and through the Mid-Continent as well,” Enbridge’s chief executive said. “You look at the regional picture and the opportunity set here, having that commercial structure just opens up all kinds of opportunities.”
He noted both the Flanagan South and Seaway pipelines have “a lot of expandability.”
“And as everyone knows, when you’re dealing with incremental expansions, whether it’s DRA, or whether it’s pumping capacity, all of a sudden it’s very highly economic.
“And I think at the end of the day, if you look at the North American supply/demand outlook for the future, it’s really going to be driven by exports. So our system is in a great position to capture low-cost expandability with a structure like this, so we can get barrels to the Gulf Coast.”
Producers then have an option, he said. They can “hit” the eight million bbls/d of refining capacity, about half of which is heavy, which is ideal for Canadian crude. “But the big opportunity is in the export markets.”
Different interests
When asked how Enbridge plans to approach parties who are not aligned or that have different interests, Monaco re-emphasized that the company “didn’t come up with this ourselves. We spent a lot of time with those exact same parties, actually coming up with a proposal that would be the best for the entire basin.”
 Monaco said some of those parties may be supporting other pipelines. Others may wish to have a lower toll — “no surprise there.”
“You’ve got parties that may just like to have the free option that they’ve had … but when you really get down to it, as I said earlier, over 75 per cent of current throughput is actually supporting this mechanism….”
Noting that there are “some different points of view out there,” Monaco said he couldn’t remember a time in history that the Canadian industry was all on the same page. “So I think it’s not that surprising that we’re seeing a little bit of noise here.”
","Friday, January 31, 2020, 10:39 AM MST",Stephen Marsters,"
 
Markets
, 
Oilsands
","
 
Pipelines
, 
Regulatory
","
 
Baytex Energy Corp.
, 
Canadian Natural Resources Limited
, 
Enbridge Inc.
, 
Suncor Energy Inc.
"
New Talks Planned Over Coastal Gaslink | Daily Oil Bulletin ,"
(The Canadian Press) –– Leaders of a First Nation in northern British Columbia who say they’ll never consent to a natural gas pipeline through their traditional territory have agreed to seven days of meetings with the province.
The Office of the Wet’suwet’en issued a statement Thursday afternoon on behalf of eight hereditary chiefs saying they have agreed to the discussions in an effort to de-escalate the dispute over the Coastal GasLink pipeline.
“The hereditary chiefs maintain their commitment to peace and will pursue all avenues available to achieve a peaceful resolution,” it says.
The premier’s office also welcomed the meetings as an opportunity for all parties to work in good faith together.
The chiefs have asked for a face-to-face meeting with Premier John Horgan while declining to speak with him on the phone.
But deputy communications director George Smith said the premier will not be sitting at the table.
He said Indigenous Relations Minister Scott Fraser will lead the provincial team, while former New Democrat MP Nathan Cullen will be the “neutral” liaison between parties.
Coastal GasLink has signed agreements with 20 elected First Nations along the pipeline’s 670-kilometre route from northeastern B.C. to an export terminal in Kitimat but the hereditary clan chiefs say it has no authority without their consent.
The B.C. Supreme Court granted the company an injunction on Dec. 31. The order called for the removal of any obstructions including cabins and gates on any roads, bridges or work sites the company has been authorized to use.
It also gives authorization to the RCMP to arrest and remove anyone police have “reasonable or probable grounds” to believe has knowledge of the order and is contravening it.
The enforcement of a previous injunction a year ago resulted in the arrests of 14 people.
The RCMP said before the agreement was reached on Thursday, “efforts with respect to logistics and resource deployments had been scheduled in support of anticipated police enforcement.”
Police said they will respect the talks and not take action to enforce the injunction by removing obstructions on the Morice West Forest Service Road leading to the company's work sites.
“While additional resources may be noted in the Smithers-Houston area, the resources will be on standby during the seven-day period,” the statement says.
Earlier Thursday, the hereditary clan chiefs and their supporters called for a public investigation into the way the RCMP are controlling access along the road.
The RCMP have said they set up a checkpoint along the Morice West Forest Service Road south of Houston to prevent the dispute from escalating after patrol officers discovered hazards along the road.
But the chiefs along with the B.C. Civil Liberties Association and the Union of B.C. Indian Chiefs allege that the Mounties are unlawfully restricting access on Wet'suwet'en traditional territory.
“We cannot be criminalized for using our law to access our lands, our foods, our medicine, our way of life,” said Chief Na'moks, who dialled into a news conference in Vancouver.
The coalition has submitted a complaint to the Civilian Review and Complaints Commission for the RCMP, asking the chairperson to initiate a policy complaint and public interest investigation.
Harsha Walia, executive director of the civil liberties association, said the application of the RCMP’s enforcement at the checkpoint has been “inconsistent, arbitrary and discriminatory.'”
Walia said the coalition has submitted eight first-hand accounts from people turned away as part of the complaint. Some were told only lawyers licensed to practise in B.C. would be allowed through, or only hereditary chiefs on a pre-approved list.
“RCMP officers at the checkpoint have cited a range of inconsistent and shifting policies and procedures to those who are turned away,” she told the news conference.
“Most of these do not in any way correlate to the stated goal of public safety.”
Officers check and record the identification of each person who arrives at the checkpoint, she said.
Irina Ceric, a non-practising lawyer who tried to visit supporters at a camp beyond the checkpoint, said she was turned away one day because she didn’t have a two-way radio and tire chains but she was allowed through the next day with no questions from a different officer about her equipment.
No one from the RCMP was available for an interview Thursday, but spokeswoman Janelle Shoihet said in an email that the Mounties have shared their protocol with the hereditary chiefs.
“The checkpoint was established to address safety concerns relating to the hazards including fallen trees, gasoline caches and tire piles that were intentionally placed along the roadway,” she said.
Officers at the checkpoint are also trying to prevent further escalation of “the ongoing breach” of the injunction, she said.
The protocol allows for the entry of hereditary chiefs, elected chiefs and government officials, lawyers registered to practise law with the Law Society of B.C., and other persons providing food, medicine or other supplies and services required for the well-being and safety of persons behind the blockades, Shoihet said.
The RCMP has made significant efforts to document and record all decisions and interactions at the checkpoint and are fully prepared to participate in any public complaint process, she said.
","Friday, January 31, 2020, 7:34 AM MST", ,"
 
ESG
, 
Markets
","
 
Indigenous
, 
Pipelines
", 
Energy Transfer In Binding Open Season For Ethane Transportation | Daily Oil Bulletin ,"
Energy Transfer LP’s subsidiary, Sunoco Pipeline L.P., launched a binding open season to solicit shipper volume commitments for ethane transportation service on its Mariner West pipeline from origin points at Houston, Darlington, Bulger North, and Bulger South, each in Pennsylvania, to Marysville, Michigan and the International Border near Sarnia, Ontario, for onward transportation.
The open season began at 12 p.m. (Central time) on Jan. 31, 2020.
","Friday, January 31, 2020, 11:14 AM MST", ,"
 
Markets
","
 
Midstream
, 
NGLs
, 
Pipelines
, 
U.S.
", 
Stalled $1 Billion Gas Pipe Gets Backing From U.S. Regulator | Daily Oil Bulletin ,"
(Bloomberg) — A controversial $1 billion shale gas pipeline that’s been stalled by a dispute over whether it can seize state-owned land for construction won the backing of the nation’s top energy regulator.
PennEast had sought the support of the Federal Energy Regulatory Commission (FERC) after a court decision prevented it from exercising eminent domain in New Jersey. Its developers – which include Enbridge Inc. and Southern Co. – argued the ruling overturned 80 years of industry practice.
On Thursday, the energy commission voted 2-1 in favour of PennEast’s petition, lending the project support as it prepares to take its case to the nation’s highest court.
“The commission’s order rejecting the court’s interpretation strengthens PennEast’s forthcoming petition to the Supreme Court,” Patricia Kornick, a spokeswoman for the project, said by email.
But the project’s viability “remains on life support,” Guggenheim Securities analyst Shahriar Pourreza said Thursday in a note to clients.
“Headwinds remain material to get a project through a state that appears to be anti natural gas due to Governor Murphy’s policies,” Pourreza said, referring to New Jersey Governor Phil Murphy.
FERC chairman Neil Chatterjee said at the agency’s meeting that the earlier court ruling has the “potential to disrupt the commission’s regulation of the natural gas industry” and that Thursday’s order would provide clarity for other potential litigants. The “text, legislative history and precedent” of the Natural Gas Act of 1938 reflect Congress’s intent to delegate the authority to condemn state property to pipeline certificate holders, he argued.
But Democrat Commissioner Rich Glick, the sole dissenter, criticized the regulator’s decision as “both deeply troubling and frankly, a discredit to this agency.”
The ruling also drew an angry rebuke from New Jersey Democratic Representative Frank Pallone, the chairman of the House Energy and Commerce Committee. “For an independent regulatory agency to help a private party seize state lands, all in order to build a pipeline, is as wrong as it is bizarre,” he said in a statement.
The 193-kilometre PennEast line would carry about 1 billion cubic feet of gas per day, enough for 4.7 million homes, from Pennsylvania to New Jersey.
","Friday, January 31, 2020, 8:17 AM MST", ,"
 
Markets
","
 
Natural Gas
, 
Pipelines
, 
U.S.
","
 
Enbridge Inc.
"
"Baytex Will Voice Objections To Enbridge Plan, Conference Hears | Daily Oil Bulletin ","
Baytex Energy Corp. plans to voice its objections to the Canada Energy Regulator (CER) about plans by Enbridge Inc. to change the contracting approach it uses to move crude on its pipeline network, a conference heard on Thursday.
“We think it’s unfair,” Ed LaFehr, CEO and president of Baytex, told the 23rd annual CIBC Western Institutional Investor Conference being held in Banff. He added: “Most of the companies at this conference” would be harmed by the approach.
Baytex is not alone in opposing the plan.
For instance, Canadian Natural Resources Limited has called the planned move an abuse of market power.
There are signs Enbridge hasn’t sold producers on its plan, which has already been delayed after a bidding process for space on the line was halted. That delay forced Enbridge to submit its full plan for review by regulators.
“The proposed conversion of the Mainline from common carriage to contract carriage is unprecedented and inconsistent with the common carriage obligations established in the CER Act,” CNRL said, in opposing the plan.
Enbridge has said it held 18 months of talks with various shippers and its plan represents a compromise.
The company is seeking to be able to lock in customers into contracts as long as 20 years, a shift from the current system in which space is allocated on a monthly basis.
The Explorers & Producers Association of Canada (EPAC) has also come out in opposition to the plan by Enbridge. 
Baytex, which produces from the Eagle Ford in the U.S., the Viking, the Duvernay and heavy oil properties in the Peace River area, with total production of about 95,000 bbls/d, would be one of many producers harmed by the Enbridge plan, LaFehr said.
He said about 40 per cent of its heavy oil production is moved by rail, which gives it a degree of protection against the Enbridge plan. However, he added that smaller producers like his firm would definitely be affected.
“We just want a fair share of the egress out of the country,” he said, adding that that would not occur under the Enbridge plan, which would favour larger producers.
Enbridge said it is reviewing the filings submitted to the CER.
“We will provide a response to the CER by the required timeline of noon on February 7, 2020,” Enbridge said.
The company added: “Mainline contracting is being done in response to customer requests to have the same services on the Mainline that are available on competing pipelines — contracted service offerings with priority access and long-term toll certainty.
“We have received support from shippers representing in excess of 70 per cent of the Mainline’s current throughput.”
Enbridge said that this support comes from a wide cross-section of existing and prospective producing and refining shippers including Cenovus Energy Inc., Imperial Oil Limited, BP plc, Vermilion Energy Inc., Citgo, United Refining, LyondellBasell, Flint Hills, Marathon, Motiva, PBF, Coffeyville Resources and HollyFrontier.
Baytex financing
LaFehr also told those attending the conference that his company’s recent private placement bond offering, which helped it to raise US$500 million, was well-timed.
“We’re pleased it has been done,” he said.
He said the notes, issued at a rate of 8.75 per cent per annum, would have been very difficult to execute in today’s market, because the coronavirus has made it difficult to raise financing for any but gold-plated borrowers.
LaFehr said any but prime credit borrowers in the U.S. “now face a falling knife” because of concerns about the virus and the impact on the energy sector.
The Baytex CEO said it was challenging raising the cash, given concerns among U.S. lenders about the Canadian oilpatch.
“They were concerned about [pipeline] egress from Canada,” he said. But the company’s Eagle Ford assets were well known by U.S. lenders, which raised its profile.
 
","Thursday, January 30, 2020, 2:08 PM MST",Jim Bentein,"
 
Markets
","
 
Oil & Gas Finance - Investment
, 
Pipelines
, 
Regulatory
","
 
Baytex Energy Corp.
, 
Cenovus Energy Inc.
, 
Imperial Oil Limited
, 
Vermilion Energy Inc.
"
Enbridge Mainline Proposal Gets Pushback From Top Producer | Daily Oil Bulletin ,"
(Bloomberg) — Enbridge Inc.’s proposal to convert its Mainline crude pipeline network to long-term contracts is hitting a fresh round of opposition, with a large oil producer asking regulators to reject the plan.
Canadian Natural Resources Limited said in a filing with the Canada Energy Regulator (CER) on Tuesday that Enbridge’s bid to change the Mainline from monthly service to long-term contracts is an abuse of market power and isn’t in the public interest. The producer asked the regulator to split its review of the proposal into two parts, with the first addressing whether the conversion should even be allowed.
The opposition signals that Enbridge hasn’t yet sold some producers on its plan, which already has been delayed after a bidding process for space on the line was halted. That halt required Enbridge to submit its full plan for review by regulators last month, and Canadian Natural is now asking the CER to reject it outright.
“The proposed conversion of the Mainline from common carriage to contract carriage is unprecedented and inconsistent with the common carriage obligations established in the CER Act,” Calgary-based Canadian Natural said in the filing.
Enbridge said in an emailed statement it’s reviewing the filing submitted by Canadian Natural and will provide a response to CER by Feb. 7, adding that its proposal has received support from companies representing over 70 per cent of the Mainline’s current throughput. The pipeline operator has previously said its proposal to the CER represents 18 months of discussions with a variety of shippers and is the best compromise of their competing views.
Enbridge is seeking to be able to lock customers on the Mainline into contracts for as long as 20 years, a shift from the current system in which space is allocated on a monthly basis. The company has said long-term contracts will provide shippers with certainty on tolls and market access.
The Explorers & Producers Association of Canada (EPAC), which represents mostly small- and mid-sized producers, also asked the CER on Tuesday to split the review process in two. The regulator should address other matters in Enbridge’s application, such as tolls, only once the fundamental issue of a switch to contract service is decided.
“The Enbridge application is proposing a monumental change that has the potential to change the face of Canadian oil markets for decades,” EPAC president Tristan Goodman said in its filing. “Therefore, the preliminary issue of the appropriateness of converting the Enbridge Mainline to firm service should be carefully considered as a threshold question by a process that is efficient, inclusive and consistent with the public interest.”
","Wednesday, January 29, 2020, 7:23 AM MST", ,"
 
Markets
","
 
Pipelines
","
 
Canadian Natural Resources Limited
, 
Enbridge Inc.
"
Trans Mountain Route Hearings Resume | Daily Oil Bulletin ,"
Beginning today, the commission of the Canada Energy Regulator (CER) will hold detailed route hearings for landowners along the path of the Trans Mountain expansion project.
The hearings are the first since regulatory processes on the project resumed in July 2019.
Detailed route hearings are required where an objection to the detailed route exists, and allow the commission to decide whether the exact location of the pipeline is the best possible, and to confirm the most appropriate methods and timing of construction. Landowners whose lands are proposed to be crossed by the pipeline, as well as Indigenous groups and other persons whose lands may be adversely affected were able to object to the detailed route proposed by Trans Mountain.
The commission granted detailed route hearings where material changes in circumstances were identified since 2018, or where hearings had been granted but not completed prior to the court decision stopping the project in 2018.
The Canadian federal government re-approved the 1,147 kilometre pipeline project, including its approximately 150 metre-wide pipeline corridor, in June 2019. Currently, 68 per cent of the pipeline’s detailed route has been approved. Announcements of further detailed route hearings for the pipeline stretching southwest past Kamloops and into British Columbia’s Lower Mainland region are expected shortly.
Construction is permitted in areas where applicable conditions have been satisfied and the detailed route of the pipeline has been approved. Pipeline construction is currently underway along Alberta portions, as well as at the Edmonton and Burnaby terminals and the Westridge Marine Terminal.
","Tuesday, January 28, 2020, 9:49 AM MST", , ,"
 
Government/Policy
, 
Pipelines
, 
Regulatory
", 
"More Rail Investment Needed, And No Pipe Would Mean Even More Required: CERI | Daily Oil Bulletin ","
Rail in Canada requires investments of around $5 billion over the next five years to accommodate expected growth in demand, including crude freights, forecasts the Canadian Energy Research Institute (CERI).
“That’s investment pertaining specifically to the rail supply chain, which if you look at what those components are, this includes the physical track, obviously, and all the supporting infrastructure around the terminals, around the short lines,” Dinara Millington, vice-president of research, told the Bulletin following a recent presentation on the role of rail in Canada’s crude and petrochemical markets.
Overall, CERI expects freight weight moved by rail will increase 14 per cent between 2018 and 2025, with the top five commodity groups transported via rail being agriculture, petrochemicals, coal, minerals and forest products. “Can the rail system withstand this incremental volume without additional investment? We don’t think so.”
Further, Millington said during last week’s presentation, the CERI forecast assumes the completion of the Trans Mountain pipeline expansion, Line 3 and Keystone XL projects. If these pipeline additions do not happen, then there will be a 66.25 per cent growth in crude-by-rail demand by 2025 (compared to 2018), which would impact the overall expected growth in rail demand.
“We’re foreseeing those volumes will be reaching 700,000 bbls per day [without pipelines]. If those pipelines are built, we’re still going to see some crude being moved by rail, but it won’t be anywhere in these significant volumes.”
Along with the presentation last week, CERI will soon be releasing a report on this topic of rail transportation. Millington noted that rail investments can improve and boost the economic development in many sectors across the national and provincial economies.
“We’re not just looking at petrochemicals and we’re not just looking at crude oil, but we’re looking at the full suite of [commodities] being produced across this country.”
Supply chain challenges
Following stakeholder interviews as part of its research, CERI identified several-supply chain challenges on the country’s rail network, including delays and network congestion, especially pertaining to “the first mile and last mile” of railway shipments. This can be caused by railcars not arriving in port on time, meaning the ships charge for waiting, or other matters of poor co-ordination of the full supply-chain logistics.
“Overall, the full system needs to be re-evaluated in how it operates and how it talks to one another,” Millington said. “We found it’s very fragmented. There are shippers in silos. Rail companies are occupying their own networks and terminals and ports.”
She added: “We need to have a more holistic approach when it comes to the Canadian rail network and the full logistics system.”
Better data required
Another stakeholder-identified challenge would be the difficulty of measuring rail performance due to the use of different and inconsistent metrics in Canada, according to the CERI researcher.
“We feel the quality of data needs to improve,” Millington said, suggesting data should be available in much more detail than is currently the case, and not just at the national level or provincial level. “When we tried to assess some of the congestion at terminals, routes or corridors, some of the reasons we weren’t really able to quantify the congestion is simply because we didn’t have the data.”
She added: “We feel by establishing some sort of performance metrics that everyone would use would ease some of the tension within the stakeholders. We feel that in order to measure rail capacity and congestion areas, we need to have better data.”
","Monday, January 27, 2020, 12:59 PM MST",Carter Haydu,"
 
Markets
","
 
Crude-by-rail
, 
Pipelines
", 
